name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
relu_nt,560,14,26739,65/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_iter_1x1,12641,287,1187,66/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_pad_1x1,12598,271,1191,67/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_nt_1x1,12695,325,1182,68/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_iter_3x3,106021,1077,142,69/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_pad_3x3,106103,1485,142,70/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_nt_3x3,107698,3198,140,71/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_iter_7x7,462843,4809,33,72/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_pad_7x7,473881,21047,32,73/270,1,256,80,80,0.0,0.0,24,False,1638400,1
conv2d_nt_7x7,460957,1540,33,74/270,1,256,80,80,0.0,0.0,24,False,1638400,1
batch_norm_tensor_iter,575,23,26050,75/270,1,256,80,80,0.0,0.0,24,False,1638400,1
batch_norm_tensor_pad,565,16,26522,76/270,1,256,80,80,0.0,0.0,24,False,1638400,1
batch_norm_nt,610,15,24572,77/270,1,256,80,80,0.0,0.0,24,False,1638400,1
max_pool2d_tensor_iter,8866,84,1692,78/270,1,256,80,80,0.0,0.0,24,False,1638400,1
max_pool2d_tensor_pad,9391,91,1598,79/270,1,256,80,80,0.0,0.0,24,False,1638400,1
max_pool2d_nt,9422,97,1592,80/270,1,256,80,80,0.0,0.0,24,False,1638400,1
cross_entropy_tensor_iter,30036,859,500,81/270,1,256,80,80,0.0,0.0,24,False,1638400,1
cross_entropy_tensor_pad,24567,1417,611,82/270,1,256,80,80,0.0,0.0,24,False,1638400,1
cross_entropy_nt,24567,1373,611,83/270,1,256,80,80,0.0,0.0,24,False,1638400,1
dropout_tensor_iter,3569,81,4202,84/270,1,256,80,80,0.0,0.0,24,False,1638400,1
dropout_tensor_pad,3556,42,4218,85/270,1,256,80,80,0.0,0.0,24,False,1638400,1
dropout_nt,3887,74,3859,86/270,1,256,80,80,0.0,0.0,24,False,1638400,1
interpolate_tensor_iter,1828,85,8204,87/270,1,256,80,80,0.0,0.0,24,False,1638400,1
interpolate_tensor_pad,4906,390,3058,88/270,1,256,80,80,0.0,0.0,24,False,1638400,1
interpolate_nt,4924,394,3046,89/270,1,256,80,80,0.0,0.0,24,False,1638400,1
relu__tensor_pad,7964,117,1884,90/270,4,256,80,80,20.0,20.0,24,False,9984256,1
relu__tensor_iter,4317,50,3475,91/270,4,256,80,80,20.0,20.0,24,False,9984256,1
relu__nt,4385,57,3421,92/270,4,256,80,80,20.0,20.0,24,False,9984256,1
relu_tensor_iter,8185,310,1833,93/270,4,256,80,80,20.0,20.0,24,False,9984256,1
relu_tensor_pad,13256,637,1132,94/270,4,256,80,80,20.0,20.0,24,False,9984256,1
relu_nt,8325,443,1802,95/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_iter_1x1,82778,2632,182,96/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_pad_1x1,133892,799,113,97/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_nt_1x1,82467,1423,182,98/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_iter_3x3,670282,2143,23,99/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_pad_3x3,1113647,4050,14,100/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_nt_3x3,678027,18855,23,101/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_iter_7x7,3122158,28049,5,102/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_pad_7x7,5247061,9950,3,103/270,4,256,80,80,20.0,20.0,24,False,9984256,1
conv2d_nt_7x7,3102346,58553,5,104/270,4,256,80,80,20.0,20.0,24,False,9984256,1
batch_norm_tensor_iter,8425,720,1781,105/270,4,256,80,80,20.0,20.0,24,False,9984256,1
batch_norm_tensor_pad,13450,162,1116,106/270,4,256,80,80,20.0,20.0,24,False,9984256,1
