name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
relu__tensor_pad,23,1,649346,0/270,1,256,80,80,20.0,20.0,24,False,763392,24
relu__tensor_iter,23,1,632665,1/270,1,256,80,80,20.0,20.0,24,False,763392,24
relu__nt,45,10,328609,2/270,1,256,80,80,20.0,20.0,24,False,763392,24
relu_tensor_iter,40,14,369900,3/270,1,256,80,80,20.0,20.0,24,False,763392,24
relu_tensor_pad,40,7,371546,4/270,1,256,80,80,20.0,20.0,24,False,763392,24
relu_nt,83,3,179751,5/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_iter_1x1,2603,16,5762,6/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_pad_1x1,2585,25,5801,7/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_nt_1x1,2643,24,5674,8/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_iter_3x3,12843,272,1168,9/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_pad_3x3,13159,656,1140,10/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_nt_3x3,13198,567,1137,11/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_iter_7x7,43736,294,343,12/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_pad_7x7,43632,242,344,13/270,1,256,80,80,20.0,20.0,24,False,763392,24
conv2d_nt_7x7,43828,263,343,14/270,1,256,80,80,20.0,20.0,24,False,763392,24
batch_norm_tensor_iter,292,3,51217,15/270,1,256,80,80,20.0,20.0,24,False,763392,24
batch_norm_tensor_pad,281,3,53335,16/270,1,256,80,80,20.0,20.0,24,False,763392,24
batch_norm_nt,327,8,45798,17/270,1,256,80,80,20.0,20.0,24,False,763392,24
max_pool2d_tensor_iter,5152,88,2912,18/270,1,256,80,80,20.0,20.0,24,False,763392,24
max_pool2d_tensor_pad,5375,79,2791,19/270,1,256,80,80,20.0,20.0,24,False,763392,24
max_pool2d_nt,5434,45,2761,20/270,1,256,80,80,20.0,20.0,24,False,763392,24
cross_entropy_tensor_iter,859,14,17454,21/270,1,256,80,80,20.0,20.0,24,False,763392,24
cross_entropy_tensor_pad,843,10,17792,22/270,1,256,80,80,20.0,20.0,24,False,763392,24
cross_entropy_nt,888,11,16888,23/270,1,256,80,80,20.0,20.0,24,False,763392,24
dropout_tensor_iter,220,22,67908,24/270,1,256,80,80,20.0,20.0,24,False,763392,24
dropout_tensor_pad,206,20,72668,25/270,1,256,80,80,20.0,20.0,24,False,763392,24
dropout_nt,243,5,61699,26/270,1,256,80,80,20.0,20.0,24,False,763392,24
interpolate_tensor_iter,692,14,21661,27/270,1,256,80,80,20.0,20.0,24,False,763392,24
interpolate_tensor_pad,851,14,17611,28/270,1,256,80,80,20.0,20.0,24,False,763392,24
interpolate_nt,345,7,43419,29/270,1,256,80,80,20.0,20.0,24,False,763392,24
relu__tensor_pad,33,2,448016,30/270,1,256,80,80,10.0,10.0,24,False,1171200,24
relu__tensor_iter,33,2,441194,31/270,1,256,80,80,10.0,10.0,24,False,1171200,24
relu__nt,54,4,277594,32/270,1,256,80,80,10.0,10.0,24,False,1171200,24
