name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
relu__tensor_pad,167,10,89435,0/270,1,256,80,80,20.0,20.0,24,False,763392,2
relu__tensor_iter,166,9,89896,1/270,1,256,80,80,20.0,20.0,24,False,763392,2
relu__nt,185,10,80795,2/270,1,256,80,80,20.0,20.0,24,False,763392,2
relu_tensor_iter,253,12,59181,3/270,1,256,80,80,20.0,20.0,24,False,763392,2
relu_tensor_pad,249,9,60010,4/270,1,256,80,80,20.0,20.0,24,False,763392,2
relu_nt,296,15,50562,5/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_iter_1x1,7081,173,2119,6/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_pad_1x1,7131,268,2104,7/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_nt_1x1,7110,152,2110,8/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_iter_3x3,48929,1951,307,9/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_pad_3x3,48290,1293,311,10/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_nt_3x3,48363,1068,311,11/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_iter_7x7,177540,1404,85,12/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_pad_7x7,178411,1815,85,13/270,1,256,80,80,20.0,20.0,24,False,763392,2
conv2d_nt_7x7,178376,1837,85,14/270,1,256,80,80,20.0,20.0,24,False,763392,2
batch_norm_tensor_iter,292,7,51265,15/270,1,256,80,80,20.0,20.0,24,False,763392,2
batch_norm_tensor_pad,280,4,53531,16/270,1,256,80,80,20.0,20.0,24,False,763392,2
batch_norm_nt,329,7,45512,17/270,1,256,80,80,20.0,20.0,24,False,763392,2
max_pool2d_tensor_iter,4758,86,3153,18/270,1,256,80,80,20.0,20.0,24,False,763392,2
max_pool2d_tensor_pad,4991,47,3006,19/270,1,256,80,80,20.0,20.0,24,False,763392,2
max_pool2d_nt,5113,200,2934,20/270,1,256,80,80,20.0,20.0,24,False,763392,2
cross_entropy_tensor_iter,8271,202,1814,21/270,1,256,80,80,20.0,20.0,24,False,763392,2
cross_entropy_tensor_pad,8324,317,1802,22/270,1,256,80,80,20.0,20.0,24,False,763392,2
cross_entropy_nt,8278,119,1812,23/270,1,256,80,80,20.0,20.0,24,False,763392,2
dropout_tensor_iter,1680,56,8928,24/270,1,256,80,80,20.0,20.0,24,False,763392,2
dropout_tensor_pad,1643,33,9125,25/270,1,256,80,80,20.0,20.0,24,False,763392,2
dropout_nt,1699,47,8825,26/270,1,256,80,80,20.0,20.0,24,False,763392,2
interpolate_tensor_iter,6853,81,2189,27/270,1,256,80,80,20.0,20.0,24,False,763392,2
interpolate_tensor_pad,8547,193,1755,28/270,1,256,80,80,20.0,20.0,24,False,763392,2
interpolate_nt,2983,78,5029,29/270,1,256,80,80,20.0,20.0,24,False,763392,2
relu__tensor_pad,253,11,59246,30/270,1,256,80,80,10.0,10.0,24,False,1171200,2
relu__tensor_iter,251,9,59588,31/270,1,256,80,80,10.0,10.0,24,False,1171200,2
relu__nt,270,11,55411,32/270,1,256,80,80,10.0,10.0,24,False,1171200,2
relu_tensor_iter,378,16,39607,33/270,1,256,80,80,10.0,10.0,24,False,1171200,2
relu_tensor_pad,377,13,39717,34/270,1,256,80,80,10.0,10.0,24,False,1171200,2
relu_nt,430,21,34880,35/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_iter_1x1,10340,267,1451,36/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_pad_1x1,10427,364,1439,37/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_nt_1x1,10303,169,1456,38/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_iter_3x3,77957,2488,193,39/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_pad_3x3,76843,1621,196,40/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_nt_3x3,77721,2329,193,41/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_iter_7x7,319194,7264,47,42/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_pad_7x7,318973,6098,48,43/270,1,256,80,80,10.0,10.0,24,False,1171200,2
conv2d_nt_7x7,316042,3223,48,44/270,1,256,80,80,10.0,10.0,24,False,1171200,2
batch_norm_tensor_iter,432,14,34688,45/270,1,256,80,80,10.0,10.0,24,False,1171200,2
batch_norm_tensor_pad,419,8,35738,46/270,1,256,80,80,10.0,10.0,24,False,1171200,2
batch_norm_nt,467,10,32072,47/270,1,256,80,80,10.0,10.0,24,False,1171200,2
max_pool2d_tensor_iter,6776,77,2214,48/270,1,256,80,80,10.0,10.0,24,False,1171200,2
max_pool2d_tensor_pad,7228,189,2076,49/270,1,256,80,80,10.0,10.0,24,False,1171200,2
max_pool2d_nt,7371,368,2035,50/270,1,256,80,80,10.0,10.0,24,False,1171200,2
cross_entropy_tensor_iter,13255,429,1132,51/270,1,256,80,80,10.0,10.0,24,False,1171200,2
cross_entropy_tensor_pad,13094,426,1146,52/270,1,256,80,80,10.0,10.0,24,False,1171200,2
cross_entropy_nt,13260,269,1132,53/270,1,256,80,80,10.0,10.0,24,False,1171200,2
dropout_tensor_iter,2556,84,5868,54/270,1,256,80,80,10.0,10.0,24,False,1171200,2
dropout_tensor_pad,2500,52,6000,55/270,1,256,80,80,10.0,10.0,24,False,1171200,2
dropout_nt,2571,70,5833,56/270,1,256,80,80,10.0,10.0,24,False,1171200,2
interpolate_tensor_iter,7828,294,1917,57/270,1,256,80,80,10.0,10.0,24,False,1171200,2
interpolate_tensor_pad,9496,215,1580,58/270,1,256,80,80,10.0,10.0,24,False,1171200,2
interpolate_nt,4466,82,3359,59/270,1,256,80,80,10.0,10.0,24,False,1171200,2
relu__tensor_pad,350,12,42801,60/270,1,256,80,80,0.0,0.0,24,False,1638400,2
relu__tensor_iter,352,14,42511,61/270,1,256,80,80,0.0,0.0,24,False,1638400,2
relu__nt,370,15,40477,62/270,1,256,80,80,0.0,0.0,24,False,1638400,2
relu_tensor_iter,523,21,28652,63/270,1,256,80,80,0.0,0.0,24,False,1638400,2
relu_tensor_pad,523,18,28650,64/270,1,256,80,80,0.0,0.0,24,False,1638400,2
relu_nt,574,25,26111,65/270,1,256,80,80,0.0,0.0,24,False,1638400,2
conv2d_iter_1x1,13914,429,1078,66/270,1,256,80,80,0.0,0.0,24,False,1638400,2
conv2d_pad_1x1,13883,467,1081,67/270,1,256,80,80,0.0,0.0,24,False,1638400,2
conv2d_nt_1x1,13806,300,1087,68/270,1,256,80,80,0.0,0.0,24,False,1638400,2
