name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
relu__tensor_pad,91,7,163805,0/270,1,256,80,80,20.0,20.0,24,False,763392,4
relu__tensor_iter,91,7,163718,1/270,1,256,80,80,20.0,20.0,24,False,763392,4
relu__nt,109,10,137182,2/270,1,256,80,80,20.0,20.0,24,False,763392,4
relu_tensor_iter,137,9,108716,3/270,1,256,80,80,20.0,20.0,24,False,763392,4
relu_tensor_pad,139,8,107834,4/270,1,256,80,80,20.0,20.0,24,False,763392,4
relu_nt,179,11,83501,5/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_iter_1x1,4713,165,3183,6/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_pad_1x1,4730,167,3172,7/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_nt_1x1,4748,155,3159,8/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_iter_3x3,30485,1170,493,9/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_pad_3x3,30408,1015,494,10/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_nt_3x3,30788,966,488,11/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_iter_7x7,109737,3128,137,12/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_pad_7x7,107450,2663,140,13/270,1,256,80,80,20.0,20.0,24,False,763392,4
conv2d_nt_7x7,110117,4468,137,14/270,1,256,80,80,20.0,20.0,24,False,763392,4
batch_norm_tensor_iter,295,8,50762,15/270,1,256,80,80,20.0,20.0,24,False,763392,4
batch_norm_tensor_pad,283,8,52873,16/270,1,256,80,80,20.0,20.0,24,False,763392,4
batch_norm_nt,329,6,45458,17/270,1,256,80,80,20.0,20.0,24,False,763392,4
max_pool2d_tensor_iter,4967,222,3020,18/270,1,256,80,80,20.0,20.0,24,False,763392,4
max_pool2d_tensor_pad,5049,125,2971,19/270,1,256,80,80,20.0,20.0,24,False,763392,4
max_pool2d_nt,5179,164,2897,20/270,1,256,80,80,20.0,20.0,24,False,763392,4
cross_entropy_tensor_iter,4447,153,3373,21/270,1,256,80,80,20.0,20.0,24,False,763392,4
cross_entropy_tensor_pad,4327,163,3466,22/270,1,256,80,80,20.0,20.0,24,False,763392,4
cross_entropy_nt,4379,169,3426,23/270,1,256,80,80,20.0,20.0,24,False,763392,4
dropout_tensor_iter,907,35,16533,24/270,1,256,80,80,20.0,20.0,24,False,763392,4
dropout_tensor_pad,909,26,16487,25/270,1,256,80,80,20.0,20.0,24,False,763392,4
dropout_nt,942,33,15918,26/270,1,256,80,80,20.0,20.0,24,False,763392,4
interpolate_tensor_iter,3705,152,4048,27/270,1,256,80,80,20.0,20.0,24,False,763392,4
interpolate_tensor_pad,4530,168,3311,28/270,1,256,80,80,20.0,20.0,24,False,763392,4
interpolate_nt,1612,71,9306,29/270,1,256,80,80,20.0,20.0,24,False,763392,4
relu__tensor_pad,136,8,109805,30/270,1,256,80,80,10.0,10.0,24,False,1171200,4
relu__tensor_iter,136,9,109509,31/270,1,256,80,80,10.0,10.0,24,False,1171200,4
relu__nt,154,9,97001,32/270,1,256,80,80,10.0,10.0,24,False,1171200,4
relu_tensor_iter,209,11,71763,33/270,1,256,80,80,10.0,10.0,24,False,1171200,4
relu_tensor_pad,204,12,73528,34/270,1,256,80,80,10.0,10.0,24,False,1171200,4
relu_nt,250,13,59766,35/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_iter_1x1,6754,235,2221,36/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_pad_1x1,6689,268,2243,37/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_nt_1x1,6758,266,2220,38/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_iter_3x3,46236,1078,325,39/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_pad_3x3,45673,975,329,40/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_nt_3x3,45625,966,329,41/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_iter_7x7,185750,508,81,42/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_pad_7x7,185625,544,81,43/270,1,256,80,80,10.0,10.0,24,False,1171200,4
conv2d_nt_7x7,187003,3802,81,44/270,1,256,80,80,10.0,10.0,24,False,1171200,4
batch_norm_tensor_iter,430,12,34853,45/270,1,256,80,80,10.0,10.0,24,False,1171200,4
batch_norm_tensor_pad,420,11,35689,46/270,1,256,80,80,10.0,10.0,24,False,1171200,4
batch_norm_nt,464,5,32313,47/270,1,256,80,80,10.0,10.0,24,False,1171200,4
max_pool2d_tensor_iter,6924,313,2167,48/270,1,256,80,80,10.0,10.0,24,False,1171200,4
max_pool2d_tensor_pad,7135,54,2103,49/270,1,256,80,80,10.0,10.0,24,False,1171200,4
max_pool2d_nt,7188,46,2087,50/270,1,256,80,80,10.0,10.0,24,False,1171200,4
cross_entropy_tensor_iter,6619,89,2266,51/270,1,256,80,80,10.0,10.0,24,False,1171200,4
cross_entropy_tensor_pad,6539,62,2294,52/270,1,256,80,80,10.0,10.0,24,False,1171200,4
cross_entropy_nt,6583,60,2279,53/270,1,256,80,80,10.0,10.0,24,False,1171200,4
dropout_tensor_iter,1320,41,11360,54/270,1,256,80,80,10.0,10.0,24,False,1171200,4
dropout_tensor_pad,1302,38,11513,55/270,1,256,80,80,10.0,10.0,24,False,1171200,4
dropout_nt,1337,37,11215,56/270,1,256,80,80,10.0,10.0,24,False,1171200,4
interpolate_tensor_iter,3877,47,3869,57/270,1,256,80,80,10.0,10.0,24,False,1171200,4
interpolate_tensor_pad,4788,46,3133,58/270,1,256,80,80,10.0,10.0,24,False,1171200,4
interpolate_nt,2426,118,6182,59/270,1,256,80,80,10.0,10.0,24,False,1171200,4
relu__tensor_pad,188,11,79766,60/270,1,256,80,80,0.0,0.0,24,False,1638400,4
relu__tensor_iter,189,11,79320,61/270,1,256,80,80,0.0,0.0,24,False,1638400,4
relu__nt,204,11,73393,62/270,1,256,80,80,0.0,0.0,24,False,1638400,4
relu_tensor_iter,285,15,52594,63/270,1,256,80,80,0.0,0.0,24,False,1638400,4
relu_tensor_pad,282,15,53119,64/270,1,256,80,80,0.0,0.0,24,False,1638400,4
relu_nt,328,17,45678,65/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_iter_1x1,8785,344,1708,66/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_pad_1x1,8785,301,1708,67/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_nt_1x1,8779,334,1709,68/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_iter_3x3,64433,1392,233,69/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_pad_3x3,64813,1583,232,70/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_nt_3x3,63816,2348,236,71/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_iter_7x7,284199,6399,53,72/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_pad_7x7,289907,8542,52,73/270,1,256,80,80,0.0,0.0,24,False,1638400,4
conv2d_nt_7x7,306921,2469,49,74/270,1,256,80,80,0.0,0.0,24,False,1638400,4
batch_norm_tensor_iter,576,49,26007,75/270,1,256,80,80,0.0,0.0,24,False,1638400,4
batch_norm_tensor_pad,564,15,26577,76/270,1,256,80,80,0.0,0.0,24,False,1638400,4
batch_norm_nt,606,8,24715,77/270,1,256,80,80,0.0,0.0,24,False,1638400,4
max_pool2d_tensor_iter,9724,448,1543,78/270,1,256,80,80,0.0,0.0,24,False,1638400,4
max_pool2d_tensor_pad,10053,169,1492,79/270,1,256,80,80,0.0,0.0,24,False,1638400,4
max_pool2d_nt,10205,264,1470,80/270,1,256,80,80,0.0,0.0,24,False,1638400,4
cross_entropy_tensor_iter,13741,479,1092,81/270,1,256,80,80,0.0,0.0,24,False,1638400,4
cross_entropy_tensor_pad,13398,481,1120,82/270,1,256,80,80,0.0,0.0,24,False,1638400,4
cross_entropy_nt,13398,534,1120,83/270,1,256,80,80,0.0,0.0,24,False,1638400,4
dropout_tensor_iter,1897,62,7907,84/270,1,256,80,80,0.0,0.0,24,False,1638400,4
dropout_tensor_pad,1862,63,8056,85/270,1,256,80,80,0.0,0.0,24,False,1638400,4
dropout_nt,1931,65,7768,86/270,1,256,80,80,0.0,0.0,24,False,1638400,4
interpolate_tensor_iter,919,45,16318,87/270,1,256,80,80,0.0,0.0,24,False,1638400,4
interpolate_tensor_pad,3282,136,4570,88/270,1,256,80,80,0.0,0.0,24,False,1638400,4
interpolate_nt,3291,156,4558,89/270,1,256,80,80,0.0,0.0,24,False,1638400,4
relu__tensor_pad,4005,54,3745,90/270,4,256,80,80,20.0,20.0,24,False,9984256,4
relu__tensor_iter,2199,46,6820,91/270,4,256,80,80,20.0,20.0,24,False,9984256,4
relu__nt,2235,47,6710,92/270,4,256,80,80,20.0,20.0,24,False,9984256,4
relu_tensor_iter,4223,105,3552,93/270,4,256,80,80,20.0,20.0,24,False,9984256,4
relu_tensor_pad,6814,192,2202,94/270,4,256,80,80,20.0,20.0,24,False,9984256,4
relu_nt,4379,72,3425,95/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_iter_1x1,54057,1835,278,96/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_pad_1x1,85703,1690,176,97/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_nt_1x1,54306,2120,277,98/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_iter_3x3,400015,11628,38,99/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_pad_3x3,649075,12620,24,100/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_nt_3x3,403174,22186,38,101/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_iter_7x7,1830963,35032,9,102/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_pad_7x7,2993553,52319,6,103/270,4,256,80,80,20.0,20.0,24,False,9984256,4
conv2d_nt_7x7,1778221,10045,9,104/270,4,256,80,80,20.0,20.0,24,False,9984256,4
batch_norm_tensor_iter,8433,782,1779,105/270,4,256,80,80,20.0,20.0,24,False,9984256,4
batch_norm_tensor_pad,13367,171,1123,106/270,4,256,80,80,20.0,20.0,24,False,9984256,4
batch_norm_nt,8482,124,1769,107/270,4,256,80,80,20.0,20.0,24,False,9984256,4
max_pool2d_tensor_iter,56394,657,266,108/270,4,256,80,80,20.0,20.0,24,False,9984256,4
max_pool2d_tensor_pad,30714,440,489,109/270,4,256,80,80,20.0,20.0,24,False,9984256,4
max_pool2d_nt,59842,990,251,110/270,4,256,80,80,20.0,20.0,24,False,9984256,4
cross_entropy_tensor_iter,71665,478,210,111/270,4,256,80,80,20.0,20.0,24,False,9984256,4
cross_entropy_tensor_pad,128838,679,117,112/270,4,256,80,80,20.0,20.0,24,False,9984256,4
cross_entropy_nt,71548,412,210,113/270,4,256,80,80,20.0,20.0,24,False,9984256,4
dropout_tensor_iter,14845,260,1011,114/270,4,256,80,80,20.0,20.0,24,False,9984256,4
dropout_tensor_pad,29705,474,505,115/270,4,256,80,80,20.0,20.0,24,False,9984256,4
dropout_nt,14838,288,1011,116/270,4,256,80,80,20.0,20.0,24,False,9984256,4
interpolate_tensor_iter,25433,338,590,117/270,4,256,80,80,20.0,20.0,24,False,9984256,4
interpolate_tensor_pad,41212,1825,364,118/270,4,256,80,80,20.0,20.0,24,False,9984256,4
interpolate_nt,19226,178,781,119/270,4,256,80,80,20.0,20.0,24,False,9984256,4
relu__tensor_pad,2349,35,6385,120/270,4,256,80,80,10.0,10.0,24,False,8031744,4
relu__tensor_iter,1398,39,10727,121/270,4,256,80,80,10.0,10.0,24,False,8031744,4
relu__nt,1445,36,10376,122/270,4,256,80,80,10.0,10.0,24,False,8031744,4
relu_tensor_iter,3320,86,4517,123/270,4,256,80,80,10.0,10.0,24,False,8031744,4
relu_tensor_pad,4471,123,3355,124/270,4,256,80,80,10.0,10.0,24,False,8031744,4
relu_nt,3485,48,4304,125/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_iter_1x1,42410,1190,354,126/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_pad_1x1,54309,313,277,127/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_nt_1x1,42297,985,355,128/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_iter_3x3,312246,725,49,129/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_pad_3x3,420111,844,36,130/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_nt_3x3,313373,5574,48,131/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_iter_7x7,1402807,2348,11,132/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_pad_7x7,1959244,15158,8,133/270,4,256,80,80,10.0,10.0,24,False,8031744,4
conv2d_nt_7x7,1401420,3138,11,134/270,4,256,80,80,10.0,10.0,24,False,8031744,4
batch_norm_tensor_iter,6725,479,2231,135/270,4,256,80,80,10.0,10.0,24,False,8031744,4
batch_norm_tensor_pad,8958,365,1675,136/270,4,256,80,80,10.0,10.0,24,False,8031744,4
batch_norm_nt,6815,112,2202,137/270,4,256,80,80,10.0,10.0,24,False,8031744,4
max_pool2d_tensor_iter,45962,843,327,138/270,4,256,80,80,10.0,10.0,24,False,8031744,4
max_pool2d_tensor_pad,22772,867,659,139/270,4,256,80,80,10.0,10.0,24,False,8031744,4
max_pool2d_nt,49816,1495,302,140/270,4,256,80,80,10.0,10.0,24,False,8031744,4
cross_entropy_tensor_iter,60563,1498,248,141/270,4,256,80,80,10.0,10.0,24,False,8031744,4
cross_entropy_tensor_pad,70919,1604,212,142/270,4,256,80,80,10.0,10.0,24,False,8031744,4
cross_entropy_nt,59995,1250,251,143/270,4,256,80,80,10.0,10.0,24,False,8031744,4
dropout_tensor_iter,11746,241,1278,144/270,4,256,80,80,10.0,10.0,24,False,8031744,4
dropout_tensor_pad,19844,495,756,145/270,4,256,80,80,10.0,10.0,24,False,8031744,4
dropout_nt,11643,237,1289,146/270,4,256,80,80,10.0,10.0,24,False,8031744,4
interpolate_tensor_iter,21794,860,689,147/270,4,256,80,80,10.0,10.0,24,False,8031744,4
interpolate_tensor_pad,31396,1324,478,148/270,4,256,80,80,10.0,10.0,24,False,8031744,4
interpolate_nt,16492,588,910,149/270,4,256,80,80,10.0,10.0,24,False,8031744,4
relu__tensor_pad,1007,32,14882,150/270,4,256,80,80,0.0,0.0,24,False,6553600,4
relu__tensor_iter,938,33,15983,151/270,4,256,80,80,0.0,0.0,24,False,6553600,4
relu__nt,965,33,15542,152/270,4,256,80,80,0.0,0.0,24,False,6553600,4
relu_tensor_iter,1447,42,10360,153/270,4,256,80,80,0.0,0.0,24,False,6553600,4
relu_tensor_pad,2579,66,5815,154/270,4,256,80,80,0.0,0.0,24,False,6553600,4
relu_nt,2724,52,5505,155/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_iter_1x1,35281,1245,426,156/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_pad_1x1,35757,1294,420,157/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_nt_1x1,35323,1255,425,158/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_iter_3x3,260416,7359,58,159/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_pad_3x3,257677,6039,59,160/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_nt_3x3,259480,6934,58,161/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_iter_7x7,1131860,36144,14,162/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_pad_7x7,1119578,27639,14,163/270,4,256,80,80,0.0,0.0,24,False,6553600,4
conv2d_nt_7x7,1120305,18126,14,164/270,4,256,80,80,0.0,0.0,24,False,6553600,4
batch_norm_tensor_iter,2995,85,5009,165/270,4,256,80,80,0.0,0.0,24,False,6553600,4
batch_norm_tensor_pad,5295,260,2833,166/270,4,256,80,80,0.0,0.0,24,False,6553600,4
batch_norm_nt,4798,119,3127,167/270,4,256,80,80,0.0,0.0,24,False,6553600,4
max_pool2d_tensor_iter,38754,706,388,168/270,4,256,80,80,0.0,0.0,24,False,6553600,4
max_pool2d_tensor_pad,14094,516,1065,169/270,4,256,80,80,0.0,0.0,24,False,6553600,4
max_pool2d_nt,14231,517,1054,170/270,4,256,80,80,0.0,0.0,24,False,6553600,4
cross_entropy_tensor_iter,55499,1645,271,171/270,4,256,80,80,0.0,0.0,24,False,6553600,4
cross_entropy_tensor_pad,55894,2410,269,172/270,4,256,80,80,0.0,0.0,24,False,6553600,4
cross_entropy_nt,50468,1905,298,173/270,4,256,80,80,0.0,0.0,24,False,6553600,4
dropout_tensor_iter,8201,210,1829,174/270,4,256,80,80,0.0,0.0,24,False,6553600,4
dropout_tensor_pad,11376,258,1319,175/270,4,256,80,80,0.0,0.0,24,False,6553600,4
dropout_nt,8610,205,1742,176/270,4,256,80,80,0.0,0.0,24,False,6553600,4
interpolate_tensor_iter,3700,133,4054,177/270,4,256,80,80,0.0,0.0,24,False,6553600,4
interpolate_tensor_pad,13121,576,1144,178/270,4,256,80,80,0.0,0.0,24,False,6553600,4
interpolate_nt,13497,504,1112,179/270,4,256,80,80,0.0,0.0,24,False,6553600,4
relu__tensor_pad,8001,99,1875,180/270,8,256,80,80,20.0,20.0,24,False,16300544,4
relu__tensor_iter,4072,59,3684,181/270,8,256,80,80,20.0,20.0,24,False,16300544,4
relu__nt,4111,55,3649,182/270,8,256,80,80,20.0,20.0,24,False,16300544,4
relu_tensor_iter,6711,200,2235,183/270,8,256,80,80,20.0,20.0,24,False,16300544,4
relu_tensor_pad,13446,447,1116,184/270,8,256,80,80,20.0,20.0,24,False,16300544,4
relu_nt,7069,320,2122,185/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_iter_1x1,89800,4057,168,186/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_pad_1x1,169161,4412,89,187/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_nt_1x1,91683,3688,164,188/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_iter_3x3,655303,16282,23,189/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_pad_3x3,1307377,27763,12,190/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_nt_3x3,674706,45142,23,191/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_iter_7x7,2969707,102431,6,192/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_pad_7x7,6136949,12243,3,193/270,8,256,80,80,20.0,20.0,24,False,16300544,4
conv2d_nt_7x7,2857179,44275,6,194/270,8,256,80,80,20.0,20.0,24,False,16300544,4
batch_norm_tensor_iter,13503,1433,1111,195/270,8,256,80,80,20.0,20.0,24,False,16300544,4
batch_norm_tensor_pad,26949,1865,557,196/270,8,256,80,80,20.0,20.0,24,False,16300544,4
batch_norm_nt,14023,614,1070,197/270,8,256,80,80,20.0,20.0,24,False,16300544,4
max_pool2d_tensor_iter,94451,2237,159,198/270,8,256,80,80,20.0,20.0,24,False,16300544,4
max_pool2d_tensor_pad,60277,2372,249,199/270,8,256,80,80,20.0,20.0,24,False,16300544,4
max_pool2d_nt,100162,2402,150,200/270,8,256,80,80,20.0,20.0,24,False,16300544,4
cross_entropy_tensor_iter,118607,3341,127,201/270,8,256,80,80,20.0,20.0,24,False,16300544,4
