name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
relu__tensor_pad,385,1748,38969,0/270,1,256,80,80,20.0,20.0,24,False,763392,12
relu__tensor_iter,804,2244,18640,1/270,1,256,80,80,20.0,20.0,24,False,763392,12
relu__nt,941,2502,15932,2/270,1,256,80,80,20.0,20.0,24,False,763392,12
relu_tensor_iter,533,2048,28149,3/270,1,256,80,80,20.0,20.0,24,False,763392,12
relu_tensor_pad,1027,2663,14605,4/270,1,256,80,80,20.0,20.0,24,False,763392,12
relu_nt,874,2392,17152,5/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_iter_1x1,3135,26,4785,6/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_pad_1x1,3118,15,4811,7/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_nt_1x1,3173,23,4727,8/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_iter_3x3,16528,420,908,9/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_pad_3x3,17115,372,877,10/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_nt_3x3,17034,435,881,11/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_iter_7x7,57060,673,263,12/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_pad_7x7,57222,2946,263,13/270,1,256,80,80,20.0,20.0,24,False,763392,12
conv2d_nt_7x7,57083,602,263,14/270,1,256,80,80,20.0,20.0,24,False,763392,12
batch_norm_tensor_iter,289,8,51903,15/270,1,256,80,80,20.0,20.0,24,False,763392,12
batch_norm_tensor_pad,275,3,54502,16/270,1,256,80,80,20.0,20.0,24,False,763392,12
batch_norm_nt,322,8,46543,17/270,1,256,80,80,20.0,20.0,24,False,763392,12
max_pool2d_tensor_iter,5119,28,2930,18/270,1,256,80,80,20.0,20.0,24,False,763392,12
max_pool2d_tensor_pad,5347,30,2806,19/270,1,256,80,80,20.0,20.0,24,False,763392,12
max_pool2d_nt,5406,23,2775,20/270,1,256,80,80,20.0,20.0,24,False,763392,12
cross_entropy_tensor_iter,1645,14,9114,21/270,1,256,80,80,20.0,20.0,24,False,763392,12
cross_entropy_tensor_pad,1624,14,9236,22/270,1,256,80,80,20.0,20.0,24,False,763392,12
cross_entropy_nt,1668,14,8993,23/270,1,256,80,80,20.0,20.0,24,False,763392,12
dropout_tensor_iter,363,6,41311,24/270,1,256,80,80,20.0,20.0,24,False,763392,12
dropout_tensor_pad,348,6,42999,25/270,1,256,80,80,20.0,20.0,24,False,763392,12
dropout_nt,387,6,38684,26/270,1,256,80,80,20.0,20.0,24,False,763392,12
interpolate_tensor_iter,1342,13,11170,27/270,1,256,80,80,20.0,20.0,24,False,763392,12
interpolate_tensor_pad,1659,14,9040,28/270,1,256,80,80,20.0,20.0,24,False,763392,12
interpolate_nt,621,8,24150,29/270,1,256,80,80,20.0,20.0,24,False,763392,12
relu__tensor_pad,55,2,271784,30/270,1,256,80,80,10.0,10.0,24,False,1171200,12
relu__tensor_iter,55,2,270145,31/270,1,256,80,80,10.0,10.0,24,False,1171200,12
relu__nt,73,3,203077,32/270,1,256,80,80,10.0,10.0,24,False,1171200,12
relu_tensor_iter,83,3,179992,33/270,1,256,80,80,10.0,10.0,24,False,1171200,12
